receiver_email,receiver_user_id,subject,template_name,related_entity,related_id,sent_at,error_message,success,created_at
reynaldojaramillo.buyer@gmail.com,56de9961-d090-4e08-9900-b69f2e2bdc1b,"Bienvenido/a a Altiora Estates, Reynaldo Jaramillo",welcome_buyer,welcome,,2026-06-16 16:44:58.271249-06:00,,True,2026-06-16 16:44:58.271249-06:00
cristalbarraza.buyer@gmail.com,98bf9528-ae76-47e8-b850-ca3cb00b0e36,"Bienvenido/a a Altiora Estates, Cristal Barraza",welcome_buyer,welcome,,2026-04-16 16:44:58.271254-06:00,,True,2026-04-16 16:44:58.271254-06:00
lucíaavilés.buyer@gmail.com,663b8db8-a7e1-41a0-84e8-814f68f4f37a,"Bienvenido/a a Altiora Estates, Lucía Avilés",welcome_buyer,welcome,,2026-04-29 16:44:58.271259-06:00,,True,2026-04-29 16:44:58.271259-06:00
gonzaloreynoso.buyer@gmail.com,47d6ec26-c79e-435c-8eac-865573b2ac78,"Bienvenido/a a Altiora Estates, Gonzalo Reynoso",welcome_buyer,welcome,,2026-05-29 16:44:58.271263-06:00,,True,2026-05-29 16:44:58.271263-06:00
andréscastellanos.buyer@gmail.com,9bce2786-49e3-4000-9464-4479e0f1bc70,"Bienvenido/a a Altiora Estates, Andrés Castellanos",welcome_buyer,welcome,,2026-07-03 16:44:58.271266-06:00,,True,2026-07-03 16:44:58.271266-06:00
florenciamuñoz.buyer@gmail.com,e570d996-fa04-4f3a-956f-74c3884b4e9f,"Bienvenido/a a Altiora Estates, Florencia Muñoz",welcome_buyer,welcome,,2026-05-19 16:44:58.271270-06:00,,True,2026-05-19 16:44:58.271270-06:00
jacintozúñiga.buyer@gmail.com,fd1a4d85-4cac-4ee7-8ff5-2b6e08af64d2,"Bienvenido/a a Altiora Estates, Jacinto Zúñiga",welcome_buyer,welcome,,2026-06-10 16:44:58.271273-06:00,,True,2026-06-10 16:44:58.271273-06:00
humbertogonzales.buyer@gmail.com,0e38dbbf-5e07-4ac5-b3db-816ccc204d09,"Bienvenido/a a Altiora Estates, Humberto Gonzales",welcome_buyer,welcome,,2026-06-09 16:44:58.271275-06:00,,True,2026-06-09 16:44:58.271275-06:00
leonelpabón.buyer@gmail.com,261ff675-435a-426d-a61f-24ff82b97668,"Bienvenido/a a Altiora Estates, Leonel Pabón",welcome_buyer,welcome,,2026-04-17 16:44:58.271277-06:00,,True,2026-04-17 16:44:58.271277-06:00
hernánharo.buyer@gmail.com,61af2084-94e6-483d-b446-3f18547e9ea3,"Bienvenido/a a Altiora Estates, Hernán Haro",welcome_buyer,welcome,,2026-06-10 16:44:58.271279-06:00,,True,2026-06-10 16:44:58.271279-06:00
evamárquez.buyer@gmail.com,3f516892-96a1-4860-8457-81543df6405b,"Bienvenido/a a Altiora Estates, Eva Márquez",welcome_buyer,welcome,,2026-04-29 16:44:58.271281-06:00,,True,2026-04-29 16:44:58.271281-06:00
minervaortega.buyer@gmail.com,faa45676-2362-4875-a6f8-3b5dd68f2853,"Bienvenido/a a Altiora Estates, Minerva Ortega",welcome_buyer,welcome,,2026-07-06 16:44:58.271282-06:00,,True,2026-07-06 16:44:58.271282-06:00
ignaciomontaño.buyer@gmail.com,92664660-83ee-4889-88a8-aa745240bf4f,"Bienvenido/a a Altiora Estates, Ignacio Montaño",welcome_buyer,welcome,,2026-05-07 16:44:58.271284-06:00,,True,2026-05-07 16:44:58.271284-06:00
salmaabrego.buyer@gmail.com,6495bfec-8864-4441-9a5b-ad09aff7b980,"Bienvenido/a a Altiora Estates, Salma Abrego",welcome_buyer,welcome,,2026-04-06 16:44:58.271286-06:00,,True,2026-04-06 16:44:58.271286-06:00
agustínleón.buyer@gmail.com,62ce4d65-9b64-4521-a199-180582265277,"Bienvenido/a a Altiora Estates, Agustín León",welcome_buyer,welcome,,2026-04-09 16:44:58.271288-06:00,,True,2026-04-09 16:44:58.271288-06:00
natividadballesteros.buyer@gmail.com,1ab7fd42-64a1-430f-93da-300a04910494,"Bienvenido/a a Altiora Estates, Natividad Ballesteros",welcome_buyer,welcome,,2026-05-25 16:44:58.271289-06:00,,True,2026-05-25 16:44:58.271289-06:00
wilfridoescalante.buyer@gmail.com,f518c4d3-d550-4dd6-bea7-ae6985ad30a0,"Bienvenido/a a Altiora Estates, Wilfrido Escalante",welcome_buyer,welcome,,2026-05-20 16:44:58.271291-06:00,,True,2026-05-20 16:44:58.271291-06:00
liliaolivera.buyer@gmail.com,2ec5bf84-2777-4d0c-a1d5-145ab4e66288,"Bienvenido/a a Altiora Estates, Lilia Olivera",welcome_buyer,welcome,,2026-06-25 16:44:58.271293-06:00,,True,2026-06-25 16:44:58.271293-06:00
raquelescalante.buyer@gmail.com,05ca9e28-bb45-4d0e-a2b2-db233c675dff,"Bienvenido/a a Altiora Estates, Raquel Escalante",welcome_buyer,welcome,,2026-04-13 16:44:58.271294-06:00,,True,2026-04-13 16:44:58.271294-06:00
miguelcolunga.buyer@gmail.com,5d85bd5e-5062-486a-bfdf-5b9d01c96d7c,"Bienvenido/a a Altiora Estates, Miguel Colunga",welcome_buyer,welcome,,2026-04-06 16:44:58.271296-06:00,,True,2026-04-06 16:44:58.271296-06:00
terrahogar.ventas@gmail.com,5c9ded7e-bd44-43d4-9d4c-4172aa3ea492,Bienvenida Terra Hogar a Altiora Estates,welcome_agency,welcome,,2026-06-18 16:44:58.271300-06:00,,True,2026-06-18 16:44:58.271300-06:00
