id,email,password,role,created_at,updated_at
5c9ded7e-bd44-43d4-9d4c-4172aa3ea492,terrahogar.ventas@gmail.com,$2b$12$1Tj.W1J2ucq6U3VcUA9rc.KBASiNHBU3IcV3q11WEI8e1A//Rj1mq,agency,2026-04-02 16:44:45.328311-06:00,2026-04-02 16:44:45.328311-06:00
6886adbc-deaf-4cdf-8204-6f552c628891,concretusdesarrollos.ventas@gmail.com,$2b$12$/LJ2tuM3Y4AGrFUvtcgPV.TZLyhEMDVVGpHBASLlzkboyqRee5l1C,agency,2024-11-28 16:44:45.521384-06:00,2024-11-28 16:44:45.521384-06:00
42df8c3e-05fb-49ee-9c6d-dd3884dd8915,soleilpropiedades.ventas@gmail.com,$2b$12$XR.hm0LoTnXN3bauyLG6muV4OQuCQI4TK4HC6iLEGmbYX1C.VdtGm,agency,2026-02-02 16:44:45.714247-06:00,2026-02-02 16:44:45.714247-06:00
f45525cf-17b3-4d3c-87a5-d103d781cf92,grupoaltamira.ventas@gmail.com,$2b$12$JWLWNTSJx5OSoYNdvaInmOnpusqrp09Wf4e0gtkha/NpTcwmHG58C,agency,2024-10-03 16:44:45.907081-06:00,2024-10-03 16:44:45.907081-06:00
96efd4d2-e8c2-40a3-89fa-7e6eda53c9e2,crhomes.ventas@gmail.com,$2b$12$2U9LlGcSIrkJPSc8jASMEOl1P41UhfoFokDWjRC9.0plD5ZH6.VuO,agency,2025-03-15 16:44:46.099876-06:00,2025-03-15 16:44:46.099876-06:00
c522fc00-ebb4-439d-ab2b-c14b958d145b,pacíficorealty.ventas@gmail.com,$2b$12$uBwD5u.mB9U8IhjH7X32..kQJx1w4.1M5yGjzvS5uKi3cKhi9K3JW,agency,2026-03-08 16:44:46.292861-06:00,2026-03-08 16:44:46.292861-06:00
4805f37f-95d5-45fb-b201-99e2a734bd9e,valleverdepropiedades.ventas@gmail.com,$2b$12$be0x8F2oPQZo3WMVqtWFku7v0mUO8IEvEg7ouEOqp7HgItp/DgBZ.,agency,2025-10-29 16:44:46.485672-06:00,2025-10-29 16:44:46.485672-06:00
4b03c34a-2ec7-42e8-a496-8763f64b8bda,costaliving.ventas@gmail.com,$2b$12$hZ44/Ciz.d.gfQ7giF8z6en46gl7rndIX4gCqxBBlj3RY5EvpcS1a,agency,2026-06-03 16:44:46.678563-06:00,2026-06-03 16:44:46.678563-06:00
9a88019a-610d-476f-bee3-5cab7744ce79,marcoantoniobriseño.buyer@gmail.com,$2b$12$hf2/a7vWbA4ktqbrVW3YsuoRzCM1NRTWGwWJ0SrQZo8Xg3gpXl48O,user,2025-07-02 16:44:46.873926-06:00,2025-07-02 16:44:46.873926-06:00
66672517-8754-4ebe-908a-ad8ce2165ebb,esteladelarosa.buyer@gmail.com,$2b$12$nZHs.3oiym8ZxmhzD66qseiay6gzy4RwFKKT3U5.6//U.emdlpfX2,user,2026-03-04 16:44:47.066866-06:00,2026-03-04 16:44:47.066866-06:00
3829bb5e-b6b9-493d-9826-447161920e88,javierbustos.buyer@gmail.com,$2b$12$P.U6uwUX1uW3k.SRdxlRYu0mSm0e.RYNGjYP5N8hyg2vuQfSDi9.e,user,2025-11-01 16:44:47.259646-06:00,2025-11-01 16:44:47.259646-06:00
ee8426dc-7735-4792-917f-dcfe20cf7a9f,marcelavillagómez.buyer@gmail.com,$2b$12$C04ImuERjfPh/gsH899PJ.1N95bSt/ZIU8JLM4Eb4/kM2K158hS/i,user,2026-06-16 16:44:47.452378-06:00,2026-06-16 16:44:47.452378-06:00
ac6600e2-6bb6-4c9a-bf84-d628db667632,isaaclucio.buyer@gmail.com,$2b$12$CcIluUXWjuQuBiE4EkGjc./vplvd7MdMywgflG./OUDbezJLM4j3a,user,2025-05-13 16:44:47.645094-06:00,2025-05-13 16:44:47.645094-06:00
9bce2786-49e3-4000-9464-4479e0f1bc70,andréscastellanos.buyer@gmail.com,$2b$12$ADdHrLj9eDNFR3ggTpouOen8vH.iaQzMvVJfEMn3TgvFt/gtNZtYi,user,2026-01-17 16:44:47.838069-06:00,2026-01-17 16:44:47.838069-06:00
2efbbc16-b02f-487b-b6e6-371789daac81,isabelprieto.buyer@gmail.com,$2b$12$IlDWCACQt1avIfgSmm66HujC04jK6YMQwfJBYGu9fsnWpDy/y6Y0C,user,2025-10-14 16:44:48.031014-06:00,2025-10-14 16:44:48.031014-06:00
6d323590-f99e-4a0f-a9f3-30f82bf63721,davidbenavídez.buyer@gmail.com,$2b$12$cBJl3yNoHKeezDnoLzyy.uGPtr1y4td3mWjw7Z.gAoTlpi0/8OgpC,user,2026-05-03 16:44:48.223593-06:00,2026-05-03 16:44:48.223593-06:00
62ce4d65-9b64-4521-a199-180582265277,agustínleón.buyer@gmail.com,$2b$12$eRLavDwcSr9dXCcNdKR5wOPiT6TBIMS4hiHAoy0nfA7aEdGVVmfG2,user,2026-01-23 16:44:48.418139-06:00,2026-01-23 16:44:48.418139-06:00
04fcfbea-aabd-41af-9fcb-ee1905dae1c2,claralucio.buyer@gmail.com,$2b$12$G9ngO7Kv5Afunzv7yH96Au7cnkvWzKwLxnEp3z0WXnjArdWTIGvwa,user,2025-11-09 16:44:48.610809-06:00,2025-11-09 16:44:48.610809-06:00
e570d996-fa04-4f3a-956f-74c3884b4e9f,florenciamuñoz.buyer@gmail.com,$2b$12$nsMPBGanVUHyyAz.kqfOxOQUL9HjkPr/NCoIXNvL1TOq16Q3YQtNe,user,2025-05-11 16:44:48.803590-06:00,2025-05-11 16:44:48.803590-06:00
f5b97fd3-b0c3-4279-b523-64f49f49ba2f,gabrieltrujillo.buyer@gmail.com,$2b$12$fdn1P6cmftbChkRTJD0.RudDpm1.q7PAM/2wchZ7rfDDIXQf/1qmG,user,2026-04-12 16:44:48.996601-06:00,2026-04-12 16:44:48.996601-06:00
dcfc3f43-6a00-43ec-ac2f-57998e82998e,joaquíncardenas.buyer@gmail.com,$2b$12$A0.IdUu.UV6kijeRgefuTOSfE/.i/yw9DBkx.Ysctx2Z.ZsHOtTUi,user,2026-06-15 16:44:49.189226-06:00,2026-06-15 16:44:49.189226-06:00
261ff675-435a-426d-a61f-24ff82b97668,leonelpabón.buyer@gmail.com,$2b$12$52Pusar4TSxarZb7mCQnTObEdOuxuwaE.Zb3Sq0RgPCCZaxkM9CwK,user,2026-04-23 16:44:49.382034-06:00,2026-04-23 16:44:49.382034-06:00
6495bfec-8864-4441-9a5b-ad09aff7b980,salmaabrego.buyer@gmail.com,$2b$12$VlhUP9Fg4o8sh0unQeBWxeZ1idJF9bx0xGgVm7L3VxEb.5yp.HAsu,user,2026-03-01 16:44:49.574686-06:00,2026-03-01 16:44:49.574686-06:00
e5e226d9-0d40-49cb-9ef1-b3afe1b53676,analuisasánchez.buyer@gmail.com,$2b$12$.wbVcC/auZl4RKUBdt6Zm.16umSnpQZnkT.LEDCt819W3m.UycYzG,user,2026-03-21 16:44:49.767457-06:00,2026-03-21 16:44:49.767457-06:00
1ab7fd42-64a1-430f-93da-300a04910494,natividadballesteros.buyer@gmail.com,$2b$12$nBO1gFlmYhNYzNpw.arX9.8rwB9ZKZ/9vKD1OBT9oMqV7jqpHsM.q,user,2026-04-21 16:44:49.960981-06:00,2026-04-21 16:44:49.960981-06:00
